year,state_name,county_name,country_code,commodity_desc,class_desc,unit_desc,freq_desc,group_desc,source_desc,sector_desc,commodity_desc,statisticcat_desc,begin_code,Value
2020,MICHIGAN,,9000,CORN,ALL CLASSES,PCT DENTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,32,0
2020,COLORADO,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",36,12
2021,WYOMING,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,38,0
2023,KENTUCKY,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",24,73
2022,ILLINOIS,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",29,45
2022,WISCONSIN,,9000,CORN,ALL CLASSES,PCT MATURE,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",33,1
2020,MICHIGAN,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",34,17
2020,TENNESSEE,VAN BUREN,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,700
2021,INDIANA,MORGAN,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"7,026,000"
2023,NEBRASKA,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",33,82
2020,SOUTH CAROLINA,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",22,18
2020,MASSACHUSETTS,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,41,48
2023,NEW JERSEY,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,40,0
2022,NEW YORK,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",38,37
2023,MINNESOTA,CASS,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"375,000"
2021,NEBRASKA,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",40,46
2023,TENNESSEE,GREENE,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"5,200"
2022,DELAWARE,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",17,23
2020,NEBRASKA,YORK,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"223,500"
2022,WISCONSIN,FOND DU LAC,9000,CORN,ALL CLASSES,TONS,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"918,000"
2023,US TOTAL,,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"87,096,000"
2021,NEBRASKA,,9000,CORN,ALL CLASSES,PCT BY SIZE GROUP,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,15.8
2023,MISSISSIPPI,,9000,CORN,ALL CLASSES,PCT MATURE,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",38,99
2021,MISSOURI,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,27,30
2020,IDAHO,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",17,34
2022,KENTUCKY,JACKSON,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,150
2020,IOWA,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",22,94
2020,MISSOURI,MARION,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"51,900"
2022,MISSOURI,SHELBY,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"48,000"
2020,MISSISSIPPI,,9000,CORN,ALL CLASSES,PCT SILKING,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",25,53
2023,TEXAS,SAN PATRICIO,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"3,883,000"
2022,GEORGIA,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",25,13
2020,NEBRASKA,DEUEL,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,84.6
2021,GEORGIA,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",33,53
2021,WISCONSIN,SAUK,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"16,400"
2023,SOUTH DAKOTA,,9000,CORN,ALL CLASSES,PCT DENTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",33,15
2023,IOWA,MARSHALL,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"147,500"
2021,NEW YORK,,9000,CORN,ALL CLASSES,BU,POINT IN TIME,FIELD CROPS,SURVEY,CROPS,CORN,STOCKS,03,                 (D)
2021,NORTH DAKOTA,BARNES,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"196,600"
2021,KANSAS,OSBORNE,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,97.4
2020,US TOTAL,,9000,CORN,ALL CLASSES,BU,MONTHLY,FIELD CROPS,SURVEY,CROPS,CORN,USAGE,10,"7,053,000"
2020,WASHINGTON,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",45,73
2022,ARKANSAS,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",27,44
2022,TENNESSEE,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,35,13
2023,PENNSYLVANIA,,9000,CORN,ALL CLASSES,PCT SILKING,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",32,84
2023,MISSOURI,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",35,8
2022,DELAWARE,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",29,6
2023,INDIANA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,40,7
2023,IOWA,LINN,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"147,000"
2021,GEORGIA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,33,1
2023,WISCONSIN,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,39,4
2022,WISCONSIN,DANE,9000,CORN,ALL CLASSES,TONS / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,26.5
2020,OHIO,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,45,10
2021,RHODE ISLAND,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",40,5
2021,OREGON,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",28,0
2022,VIRGINIA,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",18,71
2023,NORTH DAKOTA,EMMONS,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,144.8
2021,SOUTH CAROLINA,CHESTERFIELD,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"7,470"
2022,NEW HAMPSHIRE,,9000,CORN,ALL CLASSES,PCT EMERGED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",26,95
2020,WISCONSIN,MARATHON,9000,CORN,ALL CLASSES,TONS,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"405,000"
2022,DELAWARE,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,34,87
2023,ILLINOIS,MARION,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"13,413,000"
2022,COLORADO,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",25,1
2023,INDIANA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",28,10
2021,PENNSYLVANIA,FAYETTE,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"1,158,000"
2022,UTAH,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",45,71
2022,DELAWARE,,9000,CORN,ALL CLASSES,PCT DOUGH,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,30,1
2021,VERMONT,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,28,0
2022,TENNESSEE,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",18,72
2021,COLORADO,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",33,8
2021,PENNSYLVANIA,LEBANON,9000,CORN,ALL CLASSES,TONS,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"174,000"
2023,WISCONSIN,,9000,CORN,ALL CLASSES,PCT SILKING,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",33,95
2020,KENTUCKY,WEBSTER,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"45,000"
2022,IDAHO,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",30,19
2023,KANSAS,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",32,14
2021,SOUTH CAROLINA,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",20,19
2023,KANSAS,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",27,31
2023,DELAWARE,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",33,29
2023,MONTANA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",38,4
2023,NORTH CAROLINA,NASH,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"3,690"
2022,SOUTH CAROLINA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,27,15
2023,NEW MEXICO,,9000,CORN,ALL CLASSES,TONS,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"1,449,000"
2022,VIRGINIA,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",37,24
2023,NEBRASKA,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",34,20
2023,KENTUCKY,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",36,19
2022,NORTH CAROLINA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",18,0
2023,NORTH DAKOTA,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,21,0
2021,WASHINGTON,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",38,14
2020,MONTANA,,9000,CORN,ALL CLASSES,BU,POINT IN TIME,FIELD CROPS,SURVEY,CROPS,CORN,STOCKS,06,                 (D)
2021,LOUISIANA,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",22,10
2021,NORTH CAROLINA,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",33,24
2022,OREGON,,9000,CORN,ALL CLASSES,PCT GOOD,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",23,66
2021,IOWA,,9000,CORN,ALL CLASSES,NUMBER,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,SAMPLES,00,2
2021,MISSOURI,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",39,25
2020,DELAWARE,SUSSEX,9000,CORN,ALL CLASSES,BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRODUCTION,00,"16,214,000"
2021,NEW YORK,WASHINGTON,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"20,600"
2021,OREGON,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",37,5
2020,KANSAS,,9000,CORN,ALL CLASSES,PCT DENTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,29,1
2023,NORTH DAKOTA,,9000,CORN,ALL CLASSES,PCT EMERGED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",16,0
2023,KANSAS,,9000,CORN,ALL CLASSES,PCT EXCELLENT,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",41,2
2022,WISCONSIN,BARRON,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"16,500"
2020,IOWA,,9000,CORN,ALL CLASSES,$ / BU,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,PRICE RECEIVED,00,4.64
2022,NORTH CAROLINA,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",42,96
2023,NORTH CAROLINA,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,35,61
2021,COLORADO,YUMA,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,187.6
2021,NORTH DAKOTA,,9000,CORN,ALL CLASSES,PCT PLANTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,17,14
2022,NORTH CAROLINA,YADKIN,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA HARVESTED,00,"11,100"
2020,WISCONSIN,SAUK,9000,CORN,ALL CLASSES,ACRES,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,AREA PLANTED,00,"84,500"
2020,ILLINOIS,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, 5 YEAR AVG",23,6
2022,TEXAS,,9000,CORN,ALL CLASSES,PCT VERY POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,46,29
2022,SOUTH CAROLINA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",34,5
2020,MASSACHUSETTS,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",37,25
2020,MINNESOTA,WADENA,9000,CORN,ALL CLASSES,BU / ACRE,ANNUAL,FIELD CROPS,SURVEY,CROPS,CORN,YIELD,00,164.3
2023,PENNSYLVANIA,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"CONDITION, PREVIOUS YEAR",22,0
2020,LOUISIANA,,9000,CORN,ALL CLASSES,PCT DENTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",32,99
2022,MAINE,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",38,19
2023,ILLINOIS,,9000,CORN,ALL CLASSES,PCT POOR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,34,6
2020,GEORGIA,,9000,CORN,ALL CLASSES,PCT FAIR,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,CONDITION,31,21
2021,OKLAHOMA,,9000,CORN,ALL CLASSES,PCT DENTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, PREVIOUS YEAR",35,63
2022,US TOTAL,,9000,CORN,ALL CLASSES,PCT HARVESTED,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,PROGRESS,37,7
2021,INDIANA,,9000,CORN,ALL CLASSES,PCT SILKING,WEEKLY,FIELD CROPS,SURVEY,CROPS,CORN,"PROGRESS, 5 YEAR AVG",24,1
